510102180306020203|20180319|42|43|20180320100002
2018031521433864939|510102180306020203|0000|1|000015|20180319123109
2018031521445111284|510102180306020203|0000|1|000015|20180319153836
2018031521440055220|510102180306020203|0000|1|000015|20180319141422
2018031521450142223|510102180306020203|0000|1|000015|20180319170228
2018031521430836869|510102180306020203|0000|1|000015|20180319114045
2018031521442083620|510102180306020203|0000|1|000015|20180319144812
2018031521434635295|510102180306020203|0000|1|000015|20180319124400
2018031521439123444|510102180306020203|0000|1|000015|20180319135849
2018031521430877830|510102180306020203|0000|1|000015|20180319114124
2018031521432250120|510102180306020203|0000|1|000015|20180319120424
2018031521448417139|510102180306020203|0000|1|000015|20180319163345
2018031521446225405|510102180306020203|0000|1|000015|20180319155717
2018031521426510864|510102180306020203|0000|1|000015|20180319102836
2018031521429164282|510102180306020203|0000|1|000015|20180319111249
2018031521449886589|510102180306020203|0000|1|000015|20180319165815
2018031521447229197|510102180306020203|0000|1|000015|20180319161401
2018031521428642978|510102180306020203|0000|1|000015|20180319110407
2018031521448856291|510102180306020203|0000|1|000015|20180319164102
2018031521429261276|510102180306020203|0000|1|000015|20180319111427
2018031521448688506|510102180306020203|0000|1|000015|20180319163818
2018031521445314668|510102180306020203|0000|1|000015|20180319154200
2018031521429370766|510102180306020203|0000|1|000015|20180319111616
2018031521444888954|510102180306020203|0000|1|000015|20180319153454
2018031521446582248|510102180306020203|0000|1|000015|20180319160307
2018031521474041115|510102180306020203|0000|1|000015|20180319234047
2018031521421454867|510102180306020203|0000|1|000015|20180319090419
2018031521454037741|510102180306020203|0000|1|000015|20180319180723
2018031521431729991|510102180306020203|0000|1|000015|20180319115535
2018031521433442169|510102180306020203|0000|1|000015|20180319122408
2018031521445148644|510102180306020203|0000|1|000015|20180319153914
2018031521422247744|510102180306020203|0000|1|000015|20180319091732
2018031521441227368|510102180306020203|0000|1|000015|20180319143354
2018031521430128229|510102180306020203|0000|1|000015|20180319112854
2018031521434672393|510102180306020203|0000|1|000015|20180319124436
2018031521439182446|510102180306020203|0000|1|000015|20180319135948
2018031521442123254|510102180306020203|0000|1|000015|20180319144848
2018031521433760801|510102180306020203|0000|1|000015|20180319122925
2018031521429198627|510102180306020203|0000|2|000015|20180319111337
2018031521445617810|510102180306020203|0000|1|000015|20180319154703
2018031521446335713|510102180306020203|0000|1|000015|20180319155903
2018031521431050591|510102180306020203|0000|1|000015|20180319114424
2018031521445439536|510102180306020203|0000|1|000015|20180319154405
